# Created on 10/08/2018 11:37:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Indicator Comment:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Country , Year , Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#All,All,Blank cells indicate that data is either unavailable and/or has not yet been #reported to WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Switzerland,2004,Estimates from Sentinel surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,
#
#
# 
 , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2,Albania,,,,,,,,,,,329,275,51,124,244,136,228,78,24,27,89,36,20,11,72,15,0,13,10,10,0,,16,6,,,,,
5,Andorra,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,3,6,,,,,
10,Armenia,,,,,,,,,,,469,327,124,98,329,12,2,5,19,13,10,1,3,3,7,6,2,1,3,11,4,1,8,30,,,,,
13,Austria,,,,,,,,,,,234,182,138,89,145,91,94,117,113,103,117,253,157,170,130,130,72,133,183,183,414,309,571,,,,,,
14,Azerbaijan,,,,,,,,,,,63,150,89,417,104,34,15,52,43,22,11,12,3,1,2,2,60,12,5,5,15,27,18,4,,,,,
19,Belarus,,,,,,,,,,,462,381,638,755,835,227,202,455,262,272,169,86,70,79,80,80,76,156,125,93,112,151,,1142,,,,,
20,Belgium,,,,,,,,,,,8,11,8,6,6,4,4,19,47,54,83,91,27,59,96,231,196,293,,,133,103,548,188,,,,,
26,Bosnia and Herzegovina,,,,,,,,,,,287,245,169,82,257,141,,,109,71,43,,81,39,24,39,0,41,41,25,30,30,19,,,,,,
31,Bulgaria,,,,,,,,,,,26,13,82,74,22,77,40,44,40,123,106,81,82,180,222,313,335,269,193,251,54,46,102,,,,,,
51,Croatia,,,,,,,,,,,304,392,313,666,310,252,694,567,445,333,196,130,176,94,197,124,80,123,102,101,42,103,61,108,,,,,
