#Google Dengue Trends weekly dengue activity for the world,,,,,,,,,,
#Copyright 2015 Google Inc.,,,,,,,,,,
#,,,,,,,,,,
#Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).,,,,,,,,,
#If you choose to use the data," please attribute it to Google as follows: ""Data Source: Google Dengue Trends (http://www.google.org/denguetrends)"".",,,,,,,,,
#,,,,,,,,,,
#Each week begins on the Sunday (Pacific Time) indicated for the row.,,,,,,,,,,
#Data for the current week will be updated each day until Saturday (Pacific Time).,,,,,,,,,,
#Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.,,,,,,,,,
#For more information, please visit http://www.google.org/denguetrends,,,,,,,,,
#,,,,,,,,,,
Date,Argentina,Bolivia,Brazil,India,Indonesia,Mexico,Philippines,Singapore,Thailand,Venezuela
12/29/2002,,0.101,0.073,0.062,0.101,,999,0.059,,missing
1/5/2003,,0.143,0.098,0.047,0.039,,999,0.059,,missing
1/12/2003,,0.176,0.119,0.051,0.059,0.071,999,0.238,,mising
1/19/2003,,0.173,0.17,0.032,0.039,0.052,999,0.175,,999
1/26/2003,,0.146,0.138,0.04,0.112,0.048,99,0.164,,999
2/2/2003,,0.16,0.202,0.038,0.049,0.041,999,0.163,,999
2/9/2003,,0.225,0.179,0.019,0.06,0.042,999,0.15,,999
2/16/2003,0.046,0.109,0.239,0.008,0.039,0.049,999,0.144,,0.139
2/23/2003,0.048,0.147,0.205,0.022,0.078,0.054,999,0.142,,0.137
3/2/2003,0.051,0.119,0.142,0.028,0.048,0.075,999,0.129,,0.168
3/9/2003,0.051,0.195,0.28,0.003,0.089,0.096,990,0.13,,0.169
3/16/2003,0.046,0.289,0.162,0.006,0.08,0.064,998,0.12,,0.157
3/23/2003,0.043,0.227,0.17,0.015,0.054,0.073,99,0.115,,0.154
3/30/2003,0.039,0.194,0.176,0.033,0.071,0.076,0.059,0.104,,0.138
4/6/2003,0.036,0.121,0.134,0.008,0.054,0.068,0.059,0.107,,0.136
4/13/2003,0.031,0.101,0.15,0.012,0.088,0.055,0.058,0.101,,0.129
4/20/2003,0.029,0.147,0.104,0.03,0.054,0.056,0.058,0.102,,0.168
4/27/2003,0.034,0.097,0.104,0.004,0.081,0.072,0.061,0.128,,0.263
5/4/2003,0.031,0.069,0.089,0.007,0.068,0.071,0.059,0.132,,0.222
5/11/2003,0.039,0.064,0.067,0,0.048,0.06,0.059,0.14,,0.2
5/18/2003,0.039,0.053,0.109,0.019,0.061,0.069,0.057,0.151,,0.202
5/25/2003,0.039,0.064,0.071,0.015,0.062,0.074,0.055,0.175,,0.177
6/1/2003,0.034,0.058,0.08,0.031,0.082,0.079,0.062,0.161,,0.192
6/8/2003,0.039,0.042,0.062,0.05,0.069,0.088,0.059,0.15,,0.186
6/15/2003,0.039,0.047,0.036,0.094,0.055,0.074,0.059,0.163,,0.178
6/22/2003,0.039,0.039,0.073,0.165,0.055,0.056,0.058,0.143,,0.16
6/29/2003,0.031,0.038,0.056,0.17,0.047,0.071,0.058,0.132,,0.172
7/6/2003,0.034,0.029,0.018,0.195,0.1,0.086,0.056,0.12,,0.159
7/13/2003,0.036,0.023,0.015,0.174,0.073,0.072,0.057,0.129,,0.161
7/20/2003,0.029,0.021,0.052,0.187,0.047,0.065,0.064,0.128,,0.163
7/27/2003,0.027,0.018,0.013,0.18,0.049,0.068,0.064,0.123,,0.153
8/3/2003,0.024,0.016,0.044,0.116,0.039,0.095,0.081,0.112,,0.151
8/10/2003,0.022,0.019,0.036,0.101,0.039,0.092,0.091,0.131,,0.15
8/17/2003,0.022,0.022,0.032,0.1,0.039,0.089,0.134,0.127,,0.146
8/24/2003,0.019,0.018,0.034,0.103,0.064,0.063,0.163,0.116,,0.152
8/31/2003,0.019,0.018,0.011,0.135,0.055,0.084,0.152,0.111,,0.159
9/7/2003,0.019,0.019,0.018,0.143,0.047,0.137,0.149,0.109,,0.166
9/14/2003,0.019,0.031,0.034,0.196,0.047,0.165,0.147,0.113,,0.175
9/21/2003,0.019,0.041,0.015,0.242,0.063,0.124,0.137,0.123,,0.162
9/28/2003,0.019,0.049,0.016,0.292,0.054,0.188,0.123,0.12,,0.166
10/5/2003,0.019,0.035,0.02,0.565,0.069,0.182,0.141,0.108,,0.16
10/12/2003,0.019,0.044,0.041,0.928,0.075,0.16,0.123,0.108,,0.192
10/19/2003,0.022,0.054,0.026,0.99,0.068,0.157,0.109,0.119,,0.231
10/26/2003,0.024,0.035,0.034,0.91,0.076,0.122,0.103,0.174,,0.298
11/2/2003,0.029,0.032,0.038,0.679,0.075,0.159,0.096,0.195,,0.302
11/9/2003,0.027,0.044,0.038,0.509,0.06,0.132,0.09,0.157,,0.262
11/16/2003,0.027,0.031,0.046,0.327,0.047,0.088,0.091,0.126,,0.238
11/23/2003,0.027,0.03,0.068,0.245,0.055,0.127,0.088,0.116,,0.231
11/30/2003,0.027,0.024,0.063,0.178,0.068,0.079,0.089,0.129,,0.252
12/7/2003,0.024,0.016,0.06,0.133,0.058,0.083,0.091,0.112,,0.286
12/14/2003,0.022,0.012,0.055,0.094,0.045,0.066,0.095,0.109,,0.36
12/21/2003,0.019,0.011,0.053,0.1,0.055,0.055,0.098,0.104,,0.324
12/28/2003,0.019,0.01,0.049,0.087,0.039,0.042,0.109,0.117,,0.321
1/4/2004,0.019,0.01,0.085,0.07,0.065,0.041,0.105,0.115,,0.285
